aX,aY,aZ,gX,gY,gZ
1.6701,19.0847,-6.796,-38.08,-164.01,78.47
4.6758,17.4627,-7.1834,-61.53,-133.14,50.61
6.8725,14.4187,-4.3071,-50.75,-83.65,34.37
6.8294,11.4091,1.4406,-12.46,-34.09,42.42
4.5081,10.3225,4.3885,-8.33,3.85,46.34
4.4983,8.8387,2.8429,-60.06,-8.19,44.73
4.2208,6.7666,-0.053,-82.25,-14.42,28.84
3.3264,5.3937,-3.3696,-42.56,-5.18,9.38
2.4075,6.1929,-4.5846,36.68,-9.73,12.67
1.8093,8.777,-2.029,82.25,-19.81,27.23
2.7321,12.0602,0.6845,66.64,-20.09,36.75
3.297,13.9451,2.1437,7.21,-15.26,27.58
4.2924,12.7437,0.1245,-40.95,-2.52,7.98
3.8717,9.8302,-0.1147,-48.79,13.58,-3.15
2.2879,7.6806,-1.5406,-37.94,22.54,-13.44
2.8518,6.7813,-2.5027,-21.63,10.85,-8.89
3.1538,7.1402,-2.182,17.99,0.63,1.19
2.9959,8.2356,-0.6649,29.26,7.35,13.86
3.1391,9.8488,-1.5602,0.7,9.8,8.4
2.7616,10.8158,-2.9528,-2.52,-18.55,-5.95
2.0241,10.5716,0.6747,-10.43,-7.42,-27.44
2.4213,9.4281,0.0814,-39.41,9.24,-16.03
4.2208,8.825,-1.0287,-35.35,12.67,3.22
3.6991,8.0258,-1.1386,-24.85,22.05,34.51
1.9525,7.4276,-0.1726,-2.17,27.93,36.82
0.4884,7.6286,-1.0483,29.05,11.62,26.74
0.9954,8.3513,-1.6701,58.94,-15.82,16.52
1.1346,9.3987,-0.4207,50.61,-19.11,15.75
2.3114,10.4902,-2.3261,24.85,-18.48,17.08
2.9145,10.5049,-1.57,-1.26,-15.4,11.69
1.9476,9.8969,-1.216,-18.13,-13.3,0.28
2.3781,8.925,-1.1817,-19.25,-14.07,-3.15
2.9763,8.3945,-1.2445,-11.48,-14.0,5.81
3.0724,8.2984,-1.1817,-2.45,-9.87,22.96
2.7184,8.6573,-1.3974,1.68,-8.68,31.5
2.1006,9.0643,-1.4455,0.84,-13.09,31.43
2.1339,9.2075,-1.0915,0.28,-18.2,27.86
3.0008,9.1692,-1.0101,2.31,-18.34,23.38
3.2156,9.3938,-0.6943,-2.38,-12.74,19.39
3.197,9.4036,-0.809,-19.81,-8.82,27.16
3.1342,8.9299,-1.2582,-21.21,-8.26,30.38
2.891,8.5475,-1.2876,-11.62,-5.88,31.85
2.536,8.6808,-1.0101,-1.82,-4.83,38.01
2.6174,9.0349,-0.4737,-1.26,-4.55,46.83
3.0146,9.1692,-1.1582,-11.34,-0.98,43.75
4.058,8.8299,-1.1484,-12.25,-0.63,42.35
3.9864,8.772,-0.2628,-1.68,7.98,47.67
3.599,9.2702,-0.459,-0.7,15.4,58.94
3.2303,9.9106,-0.8708,-0.77,10.92,62.23
2.8282,9.9783,-0.8473,-11.62,10.78,56.84
3.6942,9.7625,-1.2111,-12.04,8.19,63.21
3.5745,9.3938,-0.6315,-22.19,8.68,67.9
4.3689,8.777,-1.1052,-16.1,5.95,73.15
4.159,8.7054,-0.7228,-4.62,5.67,75.95
4.6758,9.3604,-1.0964,9.17,3.08,83.65
4.5895,10.9687,-0.8473,11.2,-1.89,91.77
3.9864,12.4427,-0.5403,-4.34,-2.66,91.7
3.4363,13.0693,-0.9954,-8.4,-0.42,99.12
6.1164,12.3848,0.6266,-14.77,-5.32,112.14
7.9248,11.5052,4.2639,-33.46,-21.28,123.06
-0.5502,9.8724,3.4029,-93.52,21.49,85.4
6.2262,7.5227,-5.7143,-43.96,-7.35,82.81
5.2838,6.848,0.2775,-23.17,-4.41,99.68
4.4267,5.5182,-3.5314,-66.01,9.8,93.66
6.6469,4.7043,-3.8285,16.94,11.48,84.21
5.0534,5.0828,-1.7466,8.68,22.96,90.65
6.3939,6.3988,-1.9339,26.67,22.26,98.91
6.1596,8.8917,0.0382,24.08,27.51,100.38
5.3407,10.4186,0.3109,-8.26,26.39,90.44
6.1448,9.9734,0.0284,-22.26,24.71,85.61
6.2596,9.2653,0.4256,-19.25,27.37,93.31
6.1733,9.5664,0.2442,-13.02,21.56,103.32
6.2498,10.3558,0.6178,-9.87,17.5,109.55
6.6283,11.6287,1.0336,-2.17,17.36,119.91
6.241,13.3331,1.369,-6.93,17.5,130.48
5.9919,14.5433,1.1052,-15.19,14.56,137.41
4.9053,15.3719,0.9669,-18.97,13.65,142.87
3.4029,15.5151,-0.2108,-37.45,15.96,133.63
2.3732,14.6247,-2.2536,-66.99,-0.28,105.21
2.0388,12.8065,-3.1205,-97.51,-19.11,73.01
3.651,10.2695,-5.2064,-128.17,-44.59,47.11
5.2789,7.7335,-5.0445,-126.14,-48.58,26.04
8.772,2.9861,-3.2833,-129.08,-28.0,12.67
13.2321,0.455,-3.35,-100.1,-11.83,23.38
14.6678,-1.3357,0.5551,-58.8,3.5,58.66
9.7723,-0.0618,0.4305,-34.86,45.01,90.79
5.4937,1.5504,-0.9669,-19.32,63.84,76.58
4.0825,2.4458,-3.2833,-26.04,46.9,29.75
5.1593,1.8809,-3.1009,-26.81,31.29,-6.09
5.9968,1.2876,-2.077,-30.87,26.67,-14.0
-0.2726,1.0532,2.2349,-43.61,66.01,-13.65
-9.2889,1.2062,0.4933,-19.04,82.53,-52.85
-13.7734,2.3065,-0.3785,18.83,40.6,-91.84
-10.0548,2.4791,-2.3497,27.93,-29.82,-135.17
-4.9671,3.0008,-3.4363,59.36,-52.29,-139.02
-1.8142,2.8518,-0.7992,90.51,-44.66,-142.03
-0.7894,3.7236,-0.2197,110.25,-16.24,-151.2
-0.2157,4.9102,-0.2873,132.16,11.97,-167.44
0.1196,6.288,0.8708,138.32,34.93,-175.84
0.3491,7.9542,2.2928,122.15,52.78,-181.65
0.7414,8.8054,3.4313,97.3,66.15,-188.86
1.2876,9.2604,4.159,73.43,83.58,-202.51
1.7034,9.1594,4.1972,54.88,89.39,-215.39
1.8427,8.6573,4.2306,49.35,87.29,-220.36
2.1388,8.0777,4.6807,54.04,82.88,-216.23
2.7566,7.8198,4.8239,66.71,78.54,-210.14
3.3931,8.2317,4.4885,81.13,76.72,-199.43
3.9913,8.9682,3.8815,90.3,72.24,-193.62
4.1874,9.6674,3.8952,93.1,64.12,-186.13
4.1727,10.1263,4.3983,92.68,53.83,-182.56
4.2875,10.5333,4.5228,87.99,45.08,-179.06
4.6895,10.7824,4.613,86.03,32.2,-177.24
5.0347,11.0737,4.7807,80.43,15.26,-171.78
5.1495,11.5768,4.5228,73.29,2.87,-168.49
5.2446,11.8543,3.9629,62.58,-5.74,-167.16
5.2024,11.9543,3.4931,53.48,-13.44,-167.09
5.0249,11.9788,2.8567,45.85,-17.99,-165.34
4.9867,12.0406,2.0192,40.18,-22.68,-161.84
4.8435,12.1269,1.3396,36.05,-25.48,-157.22
4.7856,12.275,0.3158,34.93,-28.91,-153.58
