aX,aY,aZ,gX,gY,gZ
2.1732,9.7341,-0.8855,-7.63,7.21,29.54
2.2251,9.7243,-0.8659,-5.95,6.44,30.24
2.335,9.638,-0.6463,-6.79,8.19,30.17
2.5703,9.6291,-0.5933,-3.85,10.43,31.78
2.2447,9.9685,-0.5452,-4.69,13.02,33.25
2.0143,10.1793,-0.9767,-14.14,10.57,30.31
2.2732,9.6429,-0.9571,-14.07,6.44,31.15
2.436,9.6144,-0.8041,-6.37,8.96,32.13
1.4641,9.7341,2.5027,-44.94,24.43,49.98
3.1872,9.7488,-1.6701,-34.16,10.92,62.3
3.7667,9.9204,-0.2393,-2.38,9.87,47.88
2.6605,11.1217,0.7796,-14.77,24.71,36.05
1.8231,10.954,0.1432,-37.03,28.07,39.34
3.0146,9.9302,0.1481,-30.94,8.47,34.09
2.2496,9.4997,-0.4501,-34.09,18.69,40.74
3.35,9.4281,-0.1196,-11.48,14.21,39.83
2.0437,10.3852,1.4504,-18.83,21.0,45.71
3.1921,10.4421,-0.8277,-37.94,15.82,41.65
2.9381,9.8057,-0.507,-25.06,12.11,39.97
2.3732,9.8341,-0.3393,-20.79,19.04,36.33
2.3546,10.3323,-1.4357,-21.63,17.99,34.65
2.4075,10.2891,-1.7995,-28.98,12.6,40.6
2.2398,10.0646,-1.0719,-40.67,13.16,53.13
3.5657,10.093,-2.1153,-15.47,12.25,53.83
2.7321,10.9305,-0.459,-15.05,25.76,45.71
2.4458,11.3512,-0.761,-27.3,25.83,46.69
1.4357,11.2227,-0.8757,-43.75,42.35,44.38
3.3735,11.0737,-1.115,-16.45,25.9,58.03
1.4357,11.667,1.2494,-30.73,37.1,53.34
1.5936,11.2845,0.8277,-29.96,37.38,53.62
1.1386,10.9403,1.5269,-26.95,32.62,55.3
0.5933,11.0021,1.7613,-26.11,25.34,57.47
0.7992,11.1119,2.0339,-28.21,16.87,56.35
0.8904,11.1796,2.7233,-31.71,14.63,52.5
1.1484,10.9354,2.7037,-33.32,13.65,50.26
0.761,10.3892,2.6988,-26.81,9.38,46.76
0.7708,10.1695,2.2634,-21.28,-1.61,46.62
2.1633,10.3656,0.8708,-3.78,-13.02,51.52
4.5748,11.055,-1.1101,-4.13,-30.52,62.79
