aX,aY,aZ,gX,gY,gZ
3.3264,9.2075,-2.1251,13.6500,18.6900,31.2900
3.9197,8.8387,-1.8907,13.5100,20.7200,34.9300
4.0394,8.9731,-1.7995,12.6000,25.2000,38.0100
3.5941,8.9731,-1.6897,14.6300,25.2000,38.0800
3.4696,9.0211,-1.8809,17.0800,22.6100,40.1800
3.7805,9.1506,-1.8142,13.2300,16.9400,46.9000
4.2973,9.2889,-1.5220,8.6800,10.0800,51.3800
4.5944,9.5762,-1.4308,5.8100,6.0900,53.5500
4.7190,9.8302,-1.6034,4.6900,6.0900,52.7100
4.5944,9.7576,-2.1006,7.2100,11.1300,52.2200
4.6562,9.9067,-2.7282,14.9100,18.3400,50.2600
5.9624,10.3607,-0.9238,13.5100,24.2900,50.1900
6.1929,11.5140,0.2628,18.1300,14.7700,55.6500
6.3027,12.1887,0.7326,1.8200,12.1800,58.8000
0.9424,11.7915,-4.1208,5.4600,21.4900,53.6200
3.9717,7.5374,-2.7233,10.0800,26.8100,71.2600
5.0347,11.0217,-2.8861,6.7900,16.5900,97.4400
4.0482,11.0168,-4.6327,-0.8400,27.7200,98.2100
5.1250,9.8586,-4.5513,-5.8800,32.4100,89.6700
5.1112,10.2313,-4.1727,-18.7600,34.8600,96.8100
4.8857,9.4752,-4.1492,-20.5100,40.3200,97.1600
4.4463,9.7056,-3.8089,-18.2700,48.0200,92.1900
5.1642,9.9106,-3.3598,-20.3700,55.1600,97.9300
5.2789,10.1793,-3.2107,-23.7300,65.7300,105.3500
4.0678,10.3038,-3.1685,-24.9200,71.1900,110.3200
3.3401,10.3803,-3.5510,-23.3100,73.9900,114.3800
3.8187,11.0688,-3.7618,-24.5000,72.4500,120.9600
3.2538,12.2181,-4.1590,-23.8700,79.8000,126.8400
2.6321,13.5528,-5.2211,-21.7700,96.0400,130.6900
1.9809,15.2709,-6.3174,-22.5400,116.6200,136.1500
1.2631,16.6066,-6.8343,-23.3800,147.7700,139.8600
-0.3305,17.9315,-6.3557,-37.4500,184.8000,138.8800
-1.5357,20.6832,-5.2358,-52.5000,210.6300,144.5500
-1.2249,18.5208,-3.3215,-44.3100,205.4500,162.4700
7.4609,15.6396,1.4210,-23.1700,158.8300,209.6500
11.0835,13.2753,-3.1156,-35.9100,108.0100,227.2200
-2.1820,14.2089,-5.9105,-4.5500,97.7200,182.9800
-3.1636,12.5290,-6.0301,-21.5600,24.2200,171.5700
-0.4933,8.5377,-5.6663,-20.6500,12.6700,164.6400
2.3879,6.0154,-5.8575,-48.6500,-5.9500,146.7200
4.5267,7.3128,-1.4455,-142.4500,-56.0700,110.5300
-1.3396,8.1935,-5.5319,-115.2900,-97.5800,30.8700
-10.7393,6.9970,-4.9288,-76.7900,-95.1300,-39.2000
-7.9110,5.0053,-3.7373,-8.7500,-118.0900,-102.2700
-4.6807,3.6510,-3.1685,10.2200,-114.8000,-122.9900
-3.5696,3.5657,-2.0770,35.0700,-102.2000,-119.2800
-3.9815,3.9815,-1.6652,34.5100,-93.5200,-133.6300
-4.7376,4.8239,-1.2876,69.0900,-82.7400,-175.2800
-5.4701,6.4077,-1.4308,97.7200,-74.0600,-219.4500
-5.4839,7.4942,-1.5122,111.5800,-64.9600,-253.4700
-4.0531,8.3945,-0.6943,119.4900,-55.3000,-281.8200
-2.9714,9.5379,0.0333,124.9500,-36.7500,-303.3800
-2.7282,10.5863,1.0817,132.4400,-23.2400,-321.3700
-2.5027,11.1462,1.7083,140.9800,-29.9600,-341.5300
-2.6988,12.3809,1.7662,149.3800,-49.7000,-361.5500
-2.7900,14.2324,1.6083,132.8600,-74.5500,-377.2300
-1.7995,15.3141,1.5406,129.4300,-109.2700,-389.4800
2.9577,15.7828,1.1052,136.7800,-128.7300,-393.6800
8.1591,17.7647,1.3396,121.0300,-115.0800,-377.7900
14.0412,19.4966,1.1964,102.2000,-112.4200,-350.8400
19.5878,19.6211,2.6753,77.0000,-107.5200,-323.2600
26.6270,18.4443,4.4503,57.6800,-105.0700,-274.4700
36.0355,16.4820,4.3689,30.1700,-84.0700,-214.4100
39.8258,14.0127,4.4316,-9.1000,-73.3600,-142.3800
41.8028,6.4704,5.6182,-44.9400,-63.7000,-78.0500
41.8361,0.6600,5.9722,-44.6600,-46.9700,3.5700
37.9459,-0.1049,5.1250,-52.3600,-54.5300,78.8200
33.7869,-2.3114,3.2882,-78.6100,-101.4300,159.6700
42.1804,-11.1845,-16.4104,28.2800,-150.0100,191.8700
51.2211,13.3616,3.0008,-92.4000,-29.7500,124.6700
-4.4846,41.9940,-1.1631,-369.4600,53.9000,110.8800
-26.8957,18.7121,10.0067,13.0200,37.1700,189.6300
-0.8993,-5.8193,4.7376,44.2400,16.0300,104.0900
8.0258,-5.7663,-3.6275,157.5700,50.1200,167.0200
3.5510,10.0548,-6.8048,82.1100,-10.3600,80.0800
13.7685,6.5518,3.7422,-18.4800,-9.7300,210.4900
9.5478,7.0157,0.5747,-9.6600,-27.8600,217.0000
1.0287,12.5339,0.1393,3.5000,-56.7000,157.1500
2.0918,11.2316,-2.8567,-2.8700,-65.8700,115.9900
4.9965,7.6855,-3.5029,-18.6900,-44.9400,128.6600
6.1684,5.5800,-1.0189,-3.8500,-24.7100,135.4500
6.5803,6.0301,-1.7132,19.8100,4.6900,140.6300
7.9346,9.1310,-1.0768,31.4300,30.0300,132.0200
6.3125,10.0832,-2.0104,6.2300,18.8300,109.5500
5.4751,9.0878,-2.2496,-13.3000,19.5300,77.1400
6.3743,8.0974,-1.8995,-7.8400,36.1200,59.2200
8.1258,7.5805,-3.2784,4.4100,38.6400,61.7400
7.2314,8.2788,-1.9427,3.2200,38.4300,61.3200
6.0733,8.5279,-1.7799,5.6000,27.4400,56.0000
6.1017,9.0545,-1.9907,4.1300,20.7900,54.3200
6.4175,9.2840,-2.5076,5.3200,12.3900,58.3100
6.7617,9.5713,-2.6851,8.8200,10.0800,66.5000
6.6234,9.5046,-2.9626,13.2300,14.1400,66.7800
6.8431,9.4516,-3.3019,18.9700,23.8700,69.0200
8.7671,11.4375,-1.8231,7.0700,32.0600,77.0700
4.6042,8.7819,-2.1300,18.7600,53.6900,51.2400
5.3407,7.8914,-3.9717,21.0700,61.7400,46.1300
9.7292,11.7729,-4.2257,19.3200,58.3800,65.3100
7.4844,10.6147,-3.4215,33.4600,59.1500,53.6200
5.9242,11.4277,-2.2683,37.1000,77.7000,50.0500
6.2213,13.1605,-3.1489,33.9500,80.0100,52.5700
6.2066,13.5047,-3.0528,32.5500,79.5200,57.6100
6.0017,14.0314,-2.6419,26.0400,91.3500,69.1600
5.7761,14.8306,-3.8089,19.1800,107.3100,79.8000
5.0632,16.1466,-5.4800,23.8700,118.3000,92.5400
2.9675,17.9226,-7.1255,22.3300,122.0800,99.5400
0.4550,20.3870,-7.4276,-22.3300,115.7100,96.3900
-1.6799,20.4635,-5.3986,-43.6800,125.6500,70.6300
-2.5703,17.2332,-3.1921,-50.5400,137.8300,59.8500
-3.5892,13.5342,-1.1003,-52.7100,153.6500,70.5600
-5.4221,14.3854,0.2108,-43.6800,150.7100,104.1600
-0.8708,12.0553,3.0911,36.2600,97.7200,189.0000
9.8341,12.8781,-4.4552,7.4200,74.6900,248.8500
1.4357,20.7411,-7.5040,-3.6400,115.2900,207.6200
-6.6283,23.9567,-11.1070,-3.2200,105.0000,189.1400
-6.7529,19.2044,-10.6049,17.0100,81.4100,208.6700
-6.9725,14.2569,-11.8209,86.8000,4.5500,207.6200
-0.9522,12.1269,-10.3509,42.3500,-57.7500,214.4800
6.2410,11.1698,-14.5815,-75.1100,-66.7100,213.4300
1.3494,18.3433,-10.5716,-207.5500,-31.9200,66.3600
-8.5230,17.1038,-4.3836,-183.7500,-69.6500,-27.7200
-11.2365,9.9018,-2.2202,-111.4400,-126.4200,-49.2100
-9.4183,2.8184,-2.6419,-99.4700,-133.4900,-57.1900
-7.7963,1.6554,-1.9907,-53.1300,-126.9100,-123.3400
-7.6904,3.2686,-0.5021,4.9000,-113.5400,-179.7600
-7.5756,6.1350,-0.0530,10.6400,-108.5700,-225.3300
-7.3981,6.6617,-0.2059,-4.6900,-102.0600,-274.1900
-7.0353,5.9154,-0.8375,-19.1800,-84.8400,-332.0100
-6.5606,6.0585,-0.8424,-11.0600,-65.5900,-392.7700
-4.5464,7.2118,0.2197,38.0100,-18.1300,-442.5400
-3.2587,9.3938,0.1000,44.3800,1.4000,-451.7800
-2.4075,11.8494,0.4070,70.1400,0.6300,-471.8000
-2.0486,12.9261,0.4933,81.9700,20.5800,-484.8900
0.7178,13.3086,0.7277,116.1300,15.1900,-492.3100
2.0535,15.0699,0.8610,126.0700,-11.3400,-484.6100
4.8474,16.9557,0.9375,147.2800,-12.6000,-492.1700
9.5478,19.4397,0.5403,159.6000,-30.3100,-482.4400
15.7730,24.1008,3.2637,117.6000,-42.5600,-442.4000
24.5980,28.3069,6.6332,101.3600,-50.6800,-381.7800
35.6815,29.4415,7.6521,59.9200,-80.7800,-289.5900
40.8839,23.2584,4.8288,-7.9100,-66.7100,-228.6200
44.2770,10.8393,2.7184,-51.3100,-37.8700,-188.6500
43.9995,3.0822,1.1631,-5.6000,-8.4700,-99.4000
43.2287,3.4647,-1.5651,-5.3900,-23.7300,15.6800
42.8796,2.0388,-1.2396,-53.4100,-35.0000,91.4200
38.9697,-0.7992,2.7714,-62.3000,-38.5000,130.9000
28.9051,-0.8757,2.4595,-59.9200,-62.3000,131.8800
19.4250,-0.0196,-2.0770,-51.5200,-120.6100,115.6400
7.8532,3.0773,-37.7733,-7.9100,-93.7300,96.8100
21.6599,26.2730,32.7238,-135.8000,259.7700,75.1100
1.7230,60.9209,15.7730,-195.6500,-210.2800,358.1200
-2.3065,9.1261,-2.6223,177.5900,-120.6100,398.0200
0.3158,-8.8201,-0.0235,-179.2000,-18.4800,248.9900
0.3923,-13.0889,-4.6130,82.1800,4.1300,29.5400
10.4372,-6.4940,-10.8922,287.4200,-53.0600,72.7300
20.2723,13.6057,17.2136,49.7000,-110.0400,314.5100
2.9714,19.8457,-0.7031,-5.1100,-12.4600,272.2300
2.6468,10.4470,-3.6706,-21.3500,-30.0300,202.0200
6.8725,9.4036,-7.4707,11.0600,-19.0400,123.4800
6.3841,9.9636,-1.0768,8.1900,10.7100,113.3300
6.3939,7.4413,0.8610,-21.0700,34.3000,137.9700
7.1167,6.2115,-2.2683,16.4500,58.5900,130.2000
5.3691,8.2886,-1.8476,31.4300,56.2800,104.5100
5.0249,8.6671,-2.6802,10.2900,52.0800,93.1700
5.6516,8.3513,-2.4840,14.4200,46.7600,78.1900
7.2785,8.1307,-3.8952,17.2900,39.9000,54.3200
7.7100,8.5279,-3.6177,15.4000,20.5800,66.5000
7.2069,9.1977,-2.1869,8.3300,16.3100,65.1000
6.2831,9.4369,-1.4504,6.5800,24.0100,57.6800
7.2981,10.1646,-1.9094,19.0400,32.4100,57.0500
7.7767,13.0938,-2.9577,25.4100,46.5500,61.6700
7.5854,13.6440,-3.0871,27.5800,63.0000,77.4900
8.8387,15.3758,-2.6272,34.1600,81.6200,109.7600
7.4079,14.6962,-4.9200,74.4800,85.2600,72.9400
2.9430,15.8691,0.1530,6.9300,102.4100,91.0000
8.3366,15.8211,-1.7034,38.7100,96.8100,108.1500
6.1399,17.9079,-1.9858,37.3100,105.9100,104.5800
4.0962,19.3387,-3.7138,25.4800,123.7600,113.8200
3.4980,19.5299,-6.8480,16.9400,146.7900,120.6800
1.5651,20.0379,-8.9584,29.4000,149.6600,114.0300
0.2589,20.4733,-11.5522,11.2000,126.0000,92.6800
-3.2303,23.3585,-8.1935,-72.1700,140.6300,66.9200
-6.5950,21.2245,-6.9823,-51.3800,162.6100,42.6300
-7.0059,17.1185,-3.6324,-36.8200,172.6900,75.2500
1.0866,14.1177,-0.4737,13.5800,137.1300,177.9400
5.7575,14.3903,-8.8387,5.2500,116.6900,216.0200
