aX,aY,aZ,gX,gY,gZ
1.2827,9.3987,-0.9287,2.1,-1.19,-0.28
1.2876,9.4036,-0.9042,1.54,-1.4,-0.35
1.268,9.3604,-0.9091,1.4,-1.47,-0.49
1.2827,9.3418,-0.9767,1.96,-1.54,-0.56
1.2778,9.3467,-0.9424,2.03,-1.47,-0.56
1.3013,9.3369,-0.9954,2.03,-1.12,-0.98
1.3396,9.3369,-0.962,2.24,-0.7,-1.4
1.3494,9.3124,-0.9287,2.52,-0.35,-1.61
1.3259,9.3222,-0.914,3.08,0.0,-1.82
1.321,9.3752,-0.9091,3.15,0.07,-1.89
1.3111,9.3654,-0.8855,3.01,0.14,-2.17
1.2925,9.3418,-0.8855,3.36,0.28,-2.17
1.2729,9.3703,-0.8904,3.5,0.91,-2.24
1.2631,9.385,-0.9287,3.29,0.42,-2.31
1.2631,9.3516,-0.9375,3.64,0.84,-2.1
1.2199,9.3801,-0.9954,3.64,0.56,-1.75
1.1817,9.3516,-0.9807,3.43,0.07,-1.4
1.168,9.3752,-1.0238,3.22,-0.49,-1.12
1.1346,9.3516,-1.0101,3.36,-0.84,-0.42
1.0866,9.3752,-1.0101,2.87,-1.54,-0.07
1.1631,9.3801,-1.0189,2.38,-2.31,0.28
1.2445,9.3555,-1.0101,2.38,-2.38,0.49
1.2631,9.3801,-1.0238,2.45,-2.1,0.35
1.2543,9.385,-0.9905,1.89,-2.17,0.21
1.2729,9.3752,-1.015,1.33,-2.38,0.14
1.3111,9.332,-0.9767,1.96,-1.68,0.21
1.321,9.3987,-1.0052,1.89,-1.68,0.21
1.2778,9.4134,-0.9905,1.4,-1.75,-0.07
1.2494,9.3987,-0.9856,1.33,-1.68,-0.21
1.2729,9.3516,-1.0052,1.33,-2.1,-0.14
1.2778,9.332,-1.0052,1.47,-1.75,-0.28
1.2582,9.3703,-0.9954,1.96,-1.54,-0.42
1.2543,9.3467,-0.962,1.82,-1.54,-0.35
1.2543,9.3801,-0.9856,1.33,-1.33,-0.28
1.2827,9.385,-0.9571,1.68,-1.12,-0.35
1.2199,9.3899,-0.9954,0.91,-1.26,-0.42
1.2494,9.385,-0.9767,0.91,-1.61,-0.28
1.1964,9.3516,-0.9238,0.77,-1.61,0.0
1.1631,9.3467,-0.9856,0.98,-2.31,0.21
1.1964,9.3604,-0.9473,0.84,-2.31,0.63
1.268,9.3369,-0.962,1.26,-1.61,0.49
1.3013,9.3467,-0.9042,1.89,-0.63,0.49
1.3161,9.3801,-0.9424,1.61,0.21,0.28
1.3778,9.3467,-0.9424,1.82,1.47,-0.07
1.3161,9.3418,-0.9522,2.45,1.89,0.14
1.2396,9.3467,-0.9336,2.73,1.47,0.21
1.1915,9.3703,-0.8708,2.8,1.19,0.21
1.1866,9.3899,-0.9042,2.52,0.7,0.21
1.2249,9.3654,-0.8855,2.24,0.21,0.14
1.2631,9.3124,-0.9424,3.08,0.35,0.49
1.268,9.3418,-0.9473,3.57,0.42,0.42
1.2199,9.3987,-0.9375,2.87,0.35,0.21
1.2199,9.3604,-0.9954,2.24,0.14,0.49
1.1964,9.3124,-0.9856,2.52,-0.77,0.77
1.1817,9.3467,-0.9807,2.94,-1.19,0.98
1.2445,9.3703,-0.9807,2.94,-1.4,1.05
1.2445,9.385,-0.9522,2.31,-1.47,0.84
1.2925,9.3938,-0.9522,2.1,-1.47,0.84
1.2778,9.3418,-1.0052,2.31,-1.47,0.7
1.2582,9.3467,-1.0101,2.24,-1.61,0.7
1.2729,9.3467,-0.9718,2.38,-1.61,0.56
1.2729,9.3654,-0.9473,2.03,-2.24,0.49
1.2876,9.3467,-0.9336,1.89,-2.31,0.49
1.2964,9.3467,-0.9473,2.45,-2.38,0.21
1.2925,9.3516,-0.9424,2.45,-2.52,0.07
1.3062,9.3801,-0.9571,2.17,-2.45,-0.07
1.2964,9.3516,-0.9522,2.45,-1.82,-0.21
1.3111,9.3467,-0.9424,2.87,-1.4,-0.35
1.3062,9.3654,-0.9522,2.59,-1.19,-0.63
1.2778,9.3604,-0.9375,2.59,-1.05,-0.56
1.2494,9.3555,-0.9905,2.52,-1.26,-0.49
1.2631,9.3516,-0.9807,2.38,-1.68,-0.49
1.2543,9.3555,-0.9336,2.66,-1.89,-0.42
1.2445,9.3654,-0.9807,2.38,-1.89,-0.7
1.2925,9.3801,-0.9856,2.03,-1.61,-0.84
1.3308,9.3418,-0.9905,2.59,-1.26,-0.91
1.2876,9.3604,-0.9767,2.45,-1.4,-1.12
1.2778,9.3467,-0.9954,1.96,-1.61,-1.4
1.2964,9.3418,-0.9571,2.31,-1.61,-1.47
1.2729,9.3467,-0.9238,2.73,-1.75,-1.68
1.3013,9.3654,-0.962,2.31,-1.89,-1.75
1.2827,9.385,-0.962,2.24,-1.54,-2.1
1.2631,9.3418,-0.9856,2.31,-1.82,-2.1
1.2543,9.3516,-0.9954,2.24,-2.03,-1.96
1.2396,9.3604,-1.0052,2.45,-2.17,-2.31
1.2494,9.3516,-0.9669,2.52,-1.82,-2.31
1.2827,9.3418,-0.9905,2.45,-2.03,-2.31
1.2396,9.332,-0.9424,2.73,-1.68,-2.73
1.2494,9.3654,-0.9669,2.52,-1.82,-2.59
1.2729,9.3703,-0.9571,2.24,-1.68,-2.59
1.2396,9.3703,-0.962,2.45,-1.61,-3.01
1.2445,9.3899,-0.9669,2.17,-1.75,-3.08
1.2062,9.3654,-0.9807,2.1,-1.54,-3.15
1.2396,9.3654,-0.9807,2.38,-1.75,-3.43
1.2582,9.3516,-0.9807,2.24,-1.33,-3.36
1.2827,9.3604,-0.9473,2.87,-0.56,-3.64
1.2582,9.4183,-0.9807,2.45,0.14,-3.85
1.2249,9.4036,-0.9571,2.17,0.14,-3.85
1.2013,9.385,-1.0238,2.03,0.21,-3.57
1.1631,9.3516,-0.9767,2.8,0.21,-3.64
1.115,9.385,-0.9571,2.59,-0.28,-3.64
1.1866,9.3899,-0.9718,2.38,-0.14,-3.57
1.2111,9.4036,-0.9767,2.17,0.35,-3.57
1.1915,9.3654,-0.9767,2.38,0.77,-3.78
1.1533,9.3654,-0.9669,2.31,0.84,-3.64
1.1297,9.3899,-0.962,2.24,0.98,-3.57
1.1297,9.4134,-0.9375,2.03,0.84,-4.06
1.1052,9.4085,-0.9767,1.96,1.12,-3.92
1.1533,9.332,-0.9669,2.73,1.19,-3.08
1.0964,9.3271,-1.0052,2.73,0.98,-3.08
1.1003,9.3801,-0.9571,2.66,1.19,-3.08
1.1817,9.3516,-1.0052,2.8,1.33,-1.89
1.1101,9.3703,-0.9669,2.8,1.61,-2.73
1.0866,9.4183,-0.9718,2.59,1.89,-2.94
1.0719,9.3987,-0.9571,1.96,1.61,-2.52
1.0434,9.3418,-1.0052,2.45,0.77,-2.52
1.0336,9.3555,-0.9718,2.73,0.42,-2.17
1.0385,9.4085,-0.9424,2.1,0.21,-2.24
1.0817,9.4036,-0.8904,2.31,0.35,-2.45
1.1386,9.3938,-1.0189,1.89,0.56,-2.24
1.1199,9.3654,-0.9522,1.96,0.84,-2.24
1.0719,9.3801,-0.9954,2.59,0.98,-1.96
1.0238,9.3654,-0.9767,2.52,0.28,-2.17
1.0238,9.385,-0.9571,2.31,0.28,-2.31
1.0817,9.3938,-0.962,2.59,-0.21,-2.94
1.0817,9.4085,-0.9336,2.03,0.7,-2.87
1.1052,9.3604,-0.9767,2.38,0.84,-1.54
1.0768,9.3222,-0.9954,3.29,0.98,-1.19
1.0189,9.3987,-0.9571,3.36,1.12,-1.96
1.0434,9.4085,-0.9571,1.26,0.77,-1.96
1.0434,9.3555,-0.9767,2.1,0.98,-2.1
1.0866,9.332,-0.9718,2.73,0.84,-1.82
1.1003,9.4036,-0.9424,2.8,1.33,-1.89
1.0866,9.4183,-0.9522,1.89,1.33,-2.24
1.0621,9.4085,-0.9718,1.54,1.68,-2.24
0.9856,9.3801,-0.9669,1.68,1.4,-2.1
1.0101,9.3604,-0.962,2.52,1.05,-1.96
0.9954,9.3703,-0.9905,2.73,0.7,-1.54
0.9669,9.4036,-0.9905,2.38,0.49,-1.61
0.9807,9.4134,-0.9856,2.38,0.07,-1.26
0.9856,9.4281,-0.9856,1.89,0.14,-1.12
0.9954,9.4183,-0.9905,1.68,0.07,-1.19
1.0052,9.3604,-0.9807,2.1,-0.07,-0.63
0.9669,9.3752,-0.9856,2.03,-0.21,-0.35
0.9767,9.3899,-0.9718,1.96,-0.63,-0.35
1.0052,9.3938,-0.962,1.33,-0.98,0.0
0.9718,9.3604,-0.9767,1.47,-1.26,0.14
1.0003,9.3899,-0.9522,1.82,-1.26,0.14
