aX,aY,aZ,gX,gY,gZ
0.1303,0.9531,-0.0971,1.4000,-0.7700,0.4200
0.1313,0.9560,-0.1030,1.1200,-0.5600,0.3500
0.1332,0.9516,-0.1020,1.1900,-0.7000,0.1400
0.1308,0.9511,-0.0966,1.5400,-0.6300,0.1400
0.1322,0.9550,-0.0981,1.2600,-0.8400,0.1400
0.1308,0.9545,-0.0956,1.1900,-0.8400,-0.1400
0.1318,0.9550,-0.0952,1.5400,-0.7700,-0.1400
0.1327,0.9555,-0.0976,1.4700,-0.8400,0.0000
0.1303,0.9545,-0.0942,1.1900,-0.9800,0.0000
0.1264,0.9550,-0.1000,1.2600,-1.0500,-0.1400
0.1298,0.9501,-0.0961,1.5400,-1.3300,-0.1400
0.1303,0.9526,-0.0937,2.2400,-1.3300,0.0000
0.1308,0.9584,-0.0947,2.1000,-1.1900,-0.2800
0.1313,0.9589,-0.0922,1.5400,-1.4000,-0.3500
0.1293,0.9545,-0.0927,1.4000,-1.4700,-0.4900
0.1308,0.9526,-0.0996,1.9600,-1.5400,-0.5600
0.1303,0.9531,-0.0961,2.0300,-1.4700,-0.5600
0.1327,0.9521,-0.1015,2.0300,-1.1200,-0.9800
0.1366,0.9521,-0.0981,2.2400,-0.7000,-1.4000
0.1376,0.9496,-0.0947,2.5200,-0.3500,-1.6100
0.1352,0.9506,-0.0932,3.0800,0.0000,-1.8200
0.1347,0.9560,-0.0927,3.1500,0.0700,-1.8900
0.1337,0.9550,-0.0903,3.0100,0.1400,-2.1700
0.1318,0.9526,-0.0903,3.3600,0.2800,-2.1700
0.1298,0.9555,-0.0908,3.5000,0.9100,-2.2400
0.1288,0.9570,-0.0947,3.2900,0.4200,-2.3100
0.1288,0.9536,-0.0956,3.6400,0.8400,-2.1000
0.1244,0.9565,-0.1015,3.6400,0.5600,-1.7500
0.1205,0.9536,-0.1000,3.4300,0.0700,-1.4000
0.1191,0.9560,-0.1044,3.2200,-0.4900,-1.1200
0.1157,0.9536,-0.1030,3.3600,-0.8400,-0.4200
0.1108,0.9560,-0.1030,2.8700,-1.5400,-0.0700
0.1186,0.9565,-0.1039,2.3800,-2.3100,0.2800
0.1269,0.9540,-0.1030,2.3800,-2.3800,0.4900
0.1288,0.9565,-0.1044,2.4500,-2.1000,0.3500
0.1279,0.9570,-0.1010,1.8900,-2.1700,0.2100
0.1298,0.9560,-0.1035,1.3300,-2.3800,0.1400
0.1337,0.9516,-0.0996,1.9600,-1.6800,0.2100
0.1347,0.9584,-0.1025,1.8900,-1.6800,0.2100
0.1303,0.9599,-0.1010,1.4000,-1.7500,-0.0700
0.1274,0.9584,-0.1005,1.3300,-1.6800,-0.2100
0.1298,0.9536,-0.1025,1.3300,-2.1000,-0.1400
0.1303,0.9516,-0.1025,1.4700,-1.7500,-0.2800
0.1283,0.9555,-0.1015,1.9600,-1.5400,-0.4200
0.1279,0.9531,-0.0981,1.8200,-1.5400,-0.3500
0.1279,0.9565,-0.1005,1.3300,-1.3300,-0.2800
