aX,aY,aZ,gX,gY,gZ
0.3392,0.9389,-0.2167,13.6500,18.6900,31.2900
0.3997,0.9013,-0.1928,13.5100,20.7200,34.9300
0.4119,0.9150,-0.1835,12.6000,25.2000,38.0100
0.3665,0.9150,-0.1723,14.6300,25.2000,38.0800
0.3538,0.9199,-0.1918,17.0800,22.6100,40.1800
0.3855,0.9331,-0.1850,13.2300,16.9400,46.9000
0.4382,0.9472,-0.1552,8.6800,10.0800,51.3800
0.4685,0.9765,-0.1459,5.8100,6.0900,53.5500
0.4812,1.0024,-0.1635,4.6900,6.0900,52.7100
0.4685,0.9950,-0.2142,7.2100,11.1300,52.2200
0.4748,1.0102,-0.2782,14.9100,18.3400,50.2600
0.6080,1.0565,-0.0942,13.5100,24.2900,50.1900
0.6315,1.1741,0.0268,18.1300,14.7700,55.6500
0.6427,1.2429,0.0747,1.8200,12.1800,58.8000
0.0961,1.2024,-0.4202,5.4600,21.4900,53.6200
0.4050,0.7686,-0.2777,10.0800,26.8100,71.2600
0.5134,1.1239,-0.2943,6.7900,16.5900,97.4400
0.4128,1.1234,-0.4724,-0.8400,27.7200,98.2100
0.5226,1.0053,-0.4641,-5.8800,32.4100,89.6700
0.5212,1.0433,-0.4255,-18.7600,34.8600,96.8100
0.4982,0.9662,-0.4231,-20.5100,40.3200,97.1600
0.4534,0.9897,-0.3884,-18.2700,48.0200,92.1900
0.5266,1.0106,-0.3426,-20.3700,55.1600,97.9300
0.5383,1.0380,-0.3274,-23.7300,65.7300,105.3500
0.4148,1.0507,-0.3231,-24.9200,71.1900,110.3200
0.3406,1.0585,-0.3621,-23.3100,73.9900,114.3800
0.3894,1.1287,-0.3836,-24.5000,72.4500,120.9600
0.3318,1.2459,-0.4241,-23.8700,79.8000,126.8400
0.2684,1.3820,-0.5324,-21.7700,96.0400,130.6900
0.2020,1.5572,-0.6442,-22.5400,116.6200,136.1500
0.1288,1.6934,-0.6969,-23.3800,147.7700,139.8600
-0.0337,1.8285,-0.6481,-37.4500,184.8000,138.8800
-0.1566,2.1091,-0.5339,-52.5000,210.6300,144.5500
-0.1249,1.8886,-0.3387,-44.3100,205.4500,162.4700
0.7608,1.5948,0.1449,-23.1700,158.8300,209.6500
1.1302,1.3537,-0.3177,-35.9100,108.0100,227.2200
-0.2225,1.4489,-0.6027,-4.5500,97.7200,182.9800
-0.3226,1.2776,-0.6149,-21.5600,24.2200,171.5700
-0.0503,0.8706,-0.5778,-20.6500,12.6700,164.6400
0.2435,0.6134,-0.5973,-48.6500,-5.9500,146.7200
0.4616,0.7457,-0.1474,-142.4500,-56.0700,110.5300
-0.1366,0.8355,-0.5641,-115.2900,-97.5800,30.8700
-1.0951,0.7135,-0.5026,-76.7900,-95.1300,-39.2000
-0.8067,0.5104,-0.3811,-8.7500,-118.0900,-102.2700
-0.4773,0.3723,-0.3231,10.2200,-114.8000,-122.9900
-0.3640,0.3636,-0.2118,35.0700,-102.2000,-119.2800
-0.4060,0.4060,-0.1698,34.5100,-93.5200,-133.6300
-0.4831,0.4919,-0.1313,69.0900,-82.7400,-175.2800
-0.5578,0.6534,-0.1459,97.7200,-74.0600,-219.4500
-0.5592,0.7642,-0.1542,111.5800,-64.9600,-253.4700
-0.4133,0.8560,-0.0708,119.4900,-55.3000,-281.8200
-0.3030,0.9726,0.0034,124.9500,-36.7500,-303.3800
