aX,aY,aZ,gX,gY,gZ,label
0.3538,0.9199,-0.1918,17.08,22.61,40.18,running
0.3855,0.9331,-0.185,13.23,16.94,46.9,running
0.4382,0.9472,-0.1552,8.68,10.08,51.38,running
0.4685,0.9765,-0.1459,5.81,6.09,53.55,running
0.4812,1.0024,-0.1635,4.69,6.09,52.71,running
0.4685,0.995,-0.2142,7.21,11.13,52.22,running
0.4748,1.0102,-0.2782,14.91,18.34,50.26,running
0.608,1.0565,-0.0942,13.51,24.29,50.19,running
0.6315,1.1741,0.0268,18.13,14.77,55.65,running
0.6427,1.2429,0.0747,1.82,12.18,58.8,running
0.0961,1.2024,-0.4202,5.46,21.49,53.62,running
0.405,0.7686,-0.2777,10.08,26.81,71.26,running
0.5134,1.1239,-0.2943,6.79,16.59,97.44,running
0.4128,1.1234,-0.4724,-0.84,27.72,98.21,running
0.5226,1.0053,-0.4641,-5.88,32.41,89.67,running
0.5212,1.0433,-0.4255,-18.76,34.86,96.81,running
0.4982,0.9662,-0.4231,-20.51,40.32,97.16,running
0.4534,0.9897,-0.3884,-18.27,48.02,92.19,running
0.5266,1.0106,-0.3426,-20.37,55.16,97.93,running
0.5383,1.038,-0.3274,-23.73,65.73,105.35,running
0.4148,1.0507,-0.3231,-24.92,71.19,110.32,running
0.3406,1.0585,-0.3621,-23.31,73.99,114.38,running
0.3894,1.1287,-0.3836,-24.5,72.45,120.96,running
0.3318,1.2459,-0.4241,-23.87,79.8,126.84,running
0.2684,1.382,-0.5324,-21.77,96.04,130.69,running
0.202,1.5572,-0.6442,-22.54,116.62,136.15,running
0.1288,1.6934,-0.6969,-23.38,147.77,139.86,running
-0.0337,1.8285,-0.6481,-37.45,184.8,138.88,running
-0.1566,2.1091,-0.5339,-52.5,210.63,144.55,running
-0.1249,1.8886,-0.3387,-44.31,205.45,162.47,running
0.7608,1.5948,0.1449,-23.17,158.83,209.65,running
1.1302,1.3537,-0.3177,-35.91,108.01,227.22,running
-0.2225,1.4489,-0.6027,-4.55,97.72,182.98,running
-0.3226,1.2776,-0.6149,-21.56,24.22,171.57,running
-0.0503,0.8706,-0.5778,-20.65,12.67,164.64,running
0.2435,0.6134,-0.5973,-48.65,-5.95,146.72,running
0.4616,0.7457,-0.1474,-142.45,-56.07,110.53,running
-0.1366,0.8355,-0.5641,-115.29,-97.58,30.87,running
-1.0951,0.7135,-0.5026,-76.79,-95.13,-39.2,running
-0.8067,0.5104,-0.3811,-8.75,-118.09,-102.27,running
-0.4773,0.3723,-0.3231,10.22,-114.8,-122.99,running
-0.364,0.3636,-0.2118,35.07,-102.2,-119.28,running
-0.406,0.406,-0.1698,34.51,-93.52,-133.63,running
-0.4831,0.4919,-0.1313,69.09,-82.74,-175.28,running
-0.5578,0.6534,-0.1459,97.72,-74.06,-219.45,running
-0.5592,0.7642,-0.1542,111.58,-64.96,-253.47,running
-0.4133,0.856,-0.0708,119.49,-55.3,-281.82,running
-0.303,0.9726,0.0034,124.95,-36.75,-303.38,running
-0.2782,1.0795,0.1103,132.44,-23.24,-321.37,running
-0.2552,1.1366,0.1742,140.98,-29.96,-341.53,running
-0.2752,1.2625,0.1801,149.38,-49.7,-361.55,running
-0.2845,1.4513,0.164,132.86,-74.55,-377.23,running
-0.1835,1.5616,0.1571,129.43,-109.27,-389.48,running
0.3016,1.6094,0.1127,136.78,-128.73,-393.68,running
0.832,1.8115,0.1366,121.03,-115.08,-377.79,running
1.4318,1.9881,0.122,102.2,-112.42,-350.84,running
1.9974,2.0008,0.2728,77.0,-107.52,-323.26,running
2.7152,1.8808,0.4538,57.68,-105.07,-274.47,running
3.6746,1.6807,0.4455,30.17,-84.07,-214.41,running
4.0611,1.4289,0.4519,-9.1,-73.36,-142.38,running
4.2627,0.6598,0.5729,-44.94,-63.7,-78.05,running
4.2661,0.0673,0.609,-44.66,-46.97,3.57,running
3.8694,-0.0107,0.5226,-52.36,-54.53,78.82,running
3.4453,-0.2357,0.3353,-78.61,-101.43,159.67,running
4.3012,-1.1405,-1.6734,28.28,-150.01,191.87,running
5.2231,1.3625,0.306,-92.4,-29.75,124.67,running
-0.4573,4.2822,-0.1186,-369.46,53.9,110.88,running
-2.7426,1.9081,1.0204,13.02,37.17,189.63,running
-0.0917,-0.5934,0.4831,44.24,16.03,104.09,running
0.8184,-0.588,-0.3699,157.57,50.12,167.02,running
0.3621,1.0253,-0.6939,82.11,-10.36,80.08,running
1.404,0.6681,0.3816,-18.48,-9.73,210.49,running
0.9736,0.7154,0.0586,-9.66,-27.86,217.0,running
0.1049,1.2781,0.0142,3.5,-56.7,157.15,running
0.2133,1.1453,-0.2913,-2.87,-65.87,115.99,running
0.5095,0.7837,-0.3572,-18.69,-44.94,128.66,running
0.629,0.569,-0.1039,-3.85,-24.71,135.45,running
0.671,0.6149,-0.1747,19.81,4.69,140.63,running
0.8091,0.9311,-0.1098,31.43,30.03,132.02,running
0.6437,1.0282,-0.205,6.23,18.83,109.55,running
0.5583,0.9267,-0.2294,-13.3,19.53,77.14,running
0.65,0.8257,-0.1937,-7.84,36.12,59.22,running
0.8286,0.773,-0.3343,4.41,38.64,61.74,running
0.7374,0.8442,-0.1981,3.22,38.43,61.32,running
0.6193,0.8696,-0.1815,5.6,27.44,56.0,running
0.6222,0.9233,-0.203,4.13,20.79,54.32,running
0.6544,0.9467,-0.2557,5.32,12.39,58.31,running
0.6895,0.976,-0.2738,8.82,10.08,66.5,running
0.6754,0.9692,-0.3021,13.23,14.14,66.78,running
0.6978,0.9638,-0.3367,18.97,23.87,69.02,running
0.894,1.1663,-0.1859,7.07,32.06,77.07,running
0.4695,0.8955,-0.2172,18.76,53.69,51.24,running
0.5446,0.8047,-0.405,21.07,61.74,46.13,running
0.9921,1.2005,-0.4309,19.32,58.38,65.31,running
0.7632,1.0824,-0.3489,33.46,59.15,53.62,running
0.6041,1.1653,-0.2313,37.1,77.7,50.05,running
0.6344,1.342,-0.3211,33.95,80.01,52.57,running
0.6329,1.3771,-0.3113,32.55,79.52,57.61,running
0.612,1.4308,-0.2694,26.04,91.35,69.16,running
0.589,1.5123,-0.3884,19.18,107.31,79.8,running
0.5163,1.6465,-0.5588,23.87,118.3,92.54,running
0.3026,1.8276,-0.7266,22.33,122.08,99.54,running
0.0464,2.0789,-0.7574,-22.33,115.71,96.39,running
-0.1713,2.0867,-0.5505,-43.68,125.65,70.63,running
-0.2621,1.7573,-0.3255,-50.54,137.83,59.85,running
-0.366,1.3801,-0.1122,-52.71,153.65,70.56,running
-0.5529,1.4669,0.0215,-43.68,150.71,104.16,running
-0.0888,1.2293,0.3152,36.26,97.72,189.0,running
1.0028,1.3132,-0.4543,7.42,74.69,248.85,running
0.1464,2.115,-0.7652,-3.64,115.29,207.62,running
-0.6759,2.4429,-1.1326,-3.22,105.0,189.14,running
-0.6886,1.9583,-1.0814,17.01,81.41,208.67,running
-0.711,1.4538,-1.2054,86.8,4.55,207.62,running
-0.0971,1.2366,-1.0555,42.35,-57.75,214.48,running
0.6364,1.139,-1.4869,-75.11,-66.71,213.43,running
0.1376,1.8705,-1.078,-207.55,-31.92,66.36,running
-0.8691,1.7441,-0.447,-183.75,-69.65,-27.72,running
-1.1458,1.0097,-0.2264,-111.44,-126.42,-49.21,running
-0.9604,0.2874,-0.2694,-99.47,-133.49,-57.19,running
-0.795,0.1688,-0.203,-53.13,-126.91,-123.34,running
-0.7842,0.3333,-0.0512,4.9,-113.54,-179.76,running
-0.7725,0.6256,-0.0054,10.64,-108.57,-225.33,running
-0.7544,0.6793,-0.021,-4.69,-102.06,-274.19,running
-0.7174,0.6032,-0.0854,-19.18,-84.84,-332.01,running
-0.669,0.6178,-0.0859,-11.06,-65.59,-392.77,running
-0.4636,0.7354,0.0224,38.01,-18.13,-442.54,running
-0.3323,0.9579,0.0102,44.38,1.4,-451.78,running
-0.2455,1.2083,0.0415,70.14,0.63,-471.8,running
