aX,aY,aZ,gX,gY,gZ,label
0.1308,0.9511,-0.102,1.89,-1.47,0.28,standing
0.1313,0.9511,-0.1,2.03,-1.4,0.56,standing
0.1347,0.9531,-0.1,2.31,-1.33,0.49,standing
0.1405,0.955,-0.102,2.24,-0.42,0.49,standing
0.1449,0.9536,-0.0976,2.1,0.63,0.28,standing
0.1405,0.954,-0.0976,2.59,1.61,0.07,standing
0.1327,0.9526,-0.1005,2.24,1.96,0.56,standing
0.1303,0.955,-0.0986,2.31,1.89,0.98,standing
0.121,0.9555,-0.1025,1.96,0.98,1.4,standing
0.1176,0.9536,-0.102,1.4,-0.7,2.1,standing
0.1215,0.9516,-0.102,1.75,-1.47,2.31,standing
0.1274,0.9506,-0.0991,2.24,-1.47,2.66,standing
0.1269,0.954,-0.101,2.45,-1.33,2.66,standing
0.1318,0.9555,-0.0961,1.89,-2.31,2.87,standing
0.1337,0.954,-0.1005,1.19,-2.59,2.52,standing
0.1405,0.9536,-0.1015,1.4,-2.73,2.38,standing
0.142,0.9511,-0.0947,2.1,-2.38,2.03,standing
0.1484,0.9575,-0.0956,1.82,-1.75,1.19,standing
0.1523,0.9555,-0.0937,1.75,-1.61,0.35,standing
0.1484,0.9536,-0.0971,1.33,-1.47,0.28,standing
0.1454,0.9536,-0.0961,1.61,-1.54,-0.14,standing
0.1401,0.9536,-0.0976,2.24,-1.54,-0.14,standing
0.1371,0.9545,-0.0991,2.1,-1.75,-0.14,standing
0.1347,0.9536,-0.0981,2.17,-2.24,-0.07,standing
0.1332,0.9526,-0.1035,2.52,-1.89,-0.21,standing
0.1401,0.9506,-0.0956,2.87,-1.96,0.07,standing
0.1396,0.9555,-0.0976,2.52,-1.54,-0.28,standing
0.1435,0.955,-0.102,2.1,-1.54,-0.7,standing
0.1396,0.9516,-0.0996,2.24,-1.33,-0.84,standing
0.1396,0.955,-0.1005,2.1,-1.4,-0.77,standing
0.1337,0.9555,-0.1,1.61,-1.89,-1.26,standing
0.1376,0.9531,-0.0976,1.96,-1.96,-1.4,standing
0.1454,0.9526,-0.0976,1.96,-1.54,-1.61,standing
0.1396,0.9545,-0.0996,2.24,-1.54,-1.96,standing
0.1332,0.9589,-0.0986,2.03,-1.82,-2.24,standing
0.1342,0.956,-0.0986,1.26,-2.52,-2.66,standing
0.1362,0.9482,-0.0971,1.96,-2.87,-2.66,standing
0.1401,0.9482,-0.1,2.87,-2.8,-2.87,standing
0.1449,0.955,-0.0956,3.01,-2.52,-3.57,standing
0.1459,0.9609,-0.0927,2.38,-1.89,-4.06,standing
0.1405,0.9584,-0.0952,1.75,-1.75,-4.55,standing
0.1318,0.9531,-0.1005,1.82,-1.96,-4.76,standing
0.1303,0.9467,-0.0952,2.24,-2.03,-4.9,standing
0.142,0.9487,-0.1,3.29,-2.17,-5.25,standing
0.142,0.9594,-0.0971,3.29,-1.54,-5.67,standing
0.144,0.9628,-0.0922,2.38,-1.12,-6.51,standing
0.1342,0.9589,-0.0956,1.82,-0.7,-6.93,standing
0.1322,0.9531,-0.1035,1.89,-0.42,-7.0,standing
0.1283,0.9511,-0.1035,2.94,-0.14,-6.51,standing
0.122,0.9531,-0.1025,2.87,0.21,-6.16,standing
0.1171,0.9545,-0.1025,2.31,0.21,-5.53,standing
0.1132,0.9516,-0.1015,2.1,-0.07,-5.04,standing
0.1132,0.9531,-0.1069,2.24,-0.21,-4.34,standing
0.1152,0.9501,-0.0996,2.45,0.28,-3.71,standing
0.1142,0.9555,-0.102,2.52,0.0,-3.36,standing
0.1142,0.9575,-0.1025,2.17,0.07,-3.01,standing
0.1142,0.9545,-0.0981,1.75,0.14,-2.73,standing
0.1186,0.9536,-0.102,1.96,0.28,-2.59,standing
0.1225,0.9536,-0.1,2.1,0.56,-2.1,standing
0.1161,0.9575,-0.101,1.68,0.63,-2.17,standing
0.1147,0.957,-0.0991,1.89,0.35,-2.17,standing
0.1137,0.955,-0.0976,1.82,0.42,-1.96,standing
0.1132,0.956,-0.0976,1.96,-0.07,-1.82,standing
0.1142,0.9526,-0.1,2.03,-0.21,-1.61,standing
0.1205,0.9545,-0.0966,2.38,-0.21,-1.33,standing
0.1127,0.9579,-0.0966,2.66,-0.28,-1.47,standing
0.1137,0.9589,-0.0971,2.31,-0.42,-1.68,standing
0.1171,0.9526,-0.0991,2.1,-0.63,-1.47,standing
0.1205,0.9531,-0.0952,3.01,-1.05,-1.26,standing
0.1191,0.9599,-0.0956,2.94,-0.7,-1.68,standing
0.121,0.9599,-0.0927,2.45,-0.42,-1.82,standing
0.1176,0.9584,-0.0991,1.82,-0.14,-2.1,standing
0.1171,0.9545,-0.0996,2.31,0.21,-1.89,standing
0.1142,0.9531,-0.1,2.66,-0.14,-1.82,standing
0.1118,0.956,-0.1015,2.73,-0.35,-1.61,standing
0.1113,0.9584,-0.1015,2.17,-0.63,-1.54,standing
0.1157,0.9584,-0.1,1.96,-0.63,-1.75,standing
0.121,0.9536,-0.1005,2.17,0.14,-1.75,standing
0.1181,0.9555,-0.0996,2.66,0.28,-1.89,standing
0.1147,0.9565,-0.102,2.87,0.63,-1.68,standing
0.1127,0.9575,-0.0996,2.38,0.56,-1.75,standing
0.1127,0.957,-0.1005,2.31,0.63,-1.68,standing
0.1108,0.955,-0.1015,2.52,0.28,-1.47,standing
0.1083,0.9565,-0.0981,2.52,0.07,-1.61,standing
0.1113,0.957,-0.0991,2.1,-0.21,-1.4,standing
0.1098,0.957,-0.0976,2.03,-0.35,-1.33,standing
0.1093,0.9565,-0.1,2.24,-0.28,-1.33,standing
0.1118,0.9555,-0.0996,2.24,-0.63,-1.19,standing
0.1103,0.957,-0.0986,2.1,-0.42,-1.19,standing
0.1103,0.9584,-0.1015,2.17,-0.77,-1.19,standing
0.1093,0.9555,-0.0996,2.03,-1.05,-1.05,standing
0.1083,0.9584,-0.101,2.17,-1.12,-1.26,standing
0.1098,0.956,-0.0986,1.96,-0.84,-1.19,standing
0.1098,0.9555,-0.1,2.1,-0.77,-1.12,standing
0.1083,0.956,-0.0986,2.38,-0.91,-0.84,standing
0.1103,0.9555,-0.0991,2.52,-0.91,-0.7,standing
0.1113,0.9584,-0.0966,2.45,-1.12,-0.7,standing
0.1118,0.9589,-0.0976,2.38,-0.98,-0.77,standing
0.1122,0.9584,-0.0996,2.1,-0.91,-0.77,standing
0.1098,0.9545,-0.101,2.45,-0.84,-0.91,standing
0.1108,0.9545,-0.0981,2.59,-0.91,-0.63,standing
0.1098,0.956,-0.0981,2.52,-0.77,-0.42,standing
0.1113,0.9555,-0.0966,2.8,-0.63,-0.56,standing
0.1113,0.9584,-0.0981,2.52,-0.49,-0.7,standing
0.1127,0.9579,-0.0991,2.52,-0.7,-0.42,standing
0.1093,0.955,-0.0991,2.73,-0.49,-0.28,standing
0.1074,0.956,-0.1025,2.73,-0.63,-0.14,standing
0.1069,0.957,-0.1,2.8,-1.19,0.14,standing
0.1078,0.956,-0.1,2.52,-1.05,0.28,standing
0.1064,0.9555,-0.1035,2.59,-1.26,0.21,standing
0.1093,0.9545,-0.0986,2.66,-1.47,0.28,standing
0.1152,0.9575,-0.0991,2.87,-1.12,0.21,standing
0.1132,0.9584,-0.0976,2.73,-0.7,0.21,standing
0.1118,0.9614,-0.0991,2.03,-0.63,0.07,standing
0.1054,0.9545,-0.101,2.1,-0.84,0.42,standing
0.1054,0.954,-0.0981,2.38,-1.4,0.77,standing
0.1049,0.956,-0.1,2.31,-1.61,0.77,standing
0.1122,0.9555,-0.1,2.73,-1.54,0.77,standing
0.1132,0.9575,-0.0976,2.73,-1.12,0.77,standing
0.1137,0.9599,-0.0986,2.59,-0.91,0.35,standing
0.1137,0.957,-0.0991,2.17,-0.98,0.28,standing
0.1161,0.9545,-0.102,2.24,-0.7,0.21,standing
0.1083,0.9565,-0.101,2.45,-0.84,0.49,standing
0.1054,0.955,-0.102,2.52,-1.05,0.49,standing
0.1083,0.957,-0.0961,2.45,-1.33,0.7,standing
0.1132,0.9579,-0.101,2.03,-1.26,0.56,standing
0.1088,0.9545,-0.0976,2.1,-1.54,0.56,standing
0.1078,0.957,-0.0986,2.1,-1.82,0.7,standing
0.1113,0.957,-0.1035,1.82,-1.75,0.35,standing
0.1142,0.956,-0.0986,2.1,-1.4,0.42,standing
0.1157,0.9584,-0.1035,1.96,-1.47,0.21,standing
0.1122,0.9555,-0.1005,2.03,-1.47,0.14,standing
0.1127,0.9589,-0.1,2.17,-1.26,0.14,standing
0.1127,0.9579,-0.0971,1.89,-1.26,0.07,standing
0.1113,0.955,-0.0991,2.17,-1.54,0.07,standing
0.1103,0.956,-0.0986,2.17,-1.4,0.28,standing
0.1132,0.956,-0.0981,2.24,-1.4,0.21,standing
0.1113,0.9555,-0.0996,2.38,-1.47,0.21,standing
0.1103,0.9589,-0.101,2.1,-1.54,0.35,standing
0.1103,0.955,-0.0996,2.17,-1.75,0.42,standing
0.1166,0.954,-0.102,2.31,-1.4,0.49,standing
0.1137,0.9575,-0.1015,2.45,-1.4,0.42,standing
0.1137,0.9584,-0.1005,2.24,-0.98,0.35,standing
0.1161,0.9579,-0.102,1.89,-1.12,0.28,standing
0.1118,0.9536,-0.1015,2.1,-0.84,0.35,standing
0.1137,0.955,-0.0986,2.45,-0.84,0.56,standing
0.1157,0.957,-0.1015,2.24,-0.7,0.56,standing
0.1142,0.9579,-0.1035,2.31,-0.56,0.63,standing
0.1127,0.9579,-0.102,2.1,-0.63,0.77,standing
0.1103,0.955,-0.101,2.03,-0.63,0.98,standing
0.1122,0.9531,-0.102,2.31,-0.84,1.19,standing
0.1137,0.954,-0.103,2.45,-0.98,1.61,standing
0.1118,0.9589,-0.0991,2.17,-1.12,1.68,standing
0.1103,0.9565,-0.1015,1.89,-1.12,1.96,standing
0.1108,0.9565,-0.0991,2.03,-1.33,2.1,standing
0.1137,0.9526,-0.102,2.17,-1.19,2.31,standing
0.1152,0.9545,-0.1005,2.45,-1.4,2.73,standing
0.1093,0.9575,-0.1005,1.96,-0.98,3.08,standing
0.1166,0.957,-0.103,1.54,-1.12,3.22,standing
0.1103,0.954,-0.102,2.1,-1.19,3.22,standing
0.1098,0.956,-0.101,1.96,-2.1,3.36,standing
0.1176,0.9536,-0.1005,1.89,-2.1,3.5,standing
0.1225,0.9536,-0.0996,2.38,-1.96,3.08,standing
0.123,0.9579,-0.0991,2.31,-1.54,3.01,standing
0.1259,0.9604,-0.0996,1.61,-1.61,2.73,standing
0.1259,0.9584,-0.0991,1.75,-1.68,2.45,standing
0.1254,0.9555,-0.0986,1.82,-1.54,2.24,standing
0.124,0.9545,-0.1005,2.03,-1.33,2.03,standing
0.124,0.956,-0.1049,2.17,-1.54,1.96,standing
0.1249,0.9545,-0.0952,2.52,-1.82,2.24,standing
0.121,0.9584,-0.101,2.17,-1.68,1.68,standing
0.1274,0.9565,-0.0971,2.17,-1.61,1.54,standing
0.1259,0.9545,-0.0966,2.31,-1.47,1.54,standing
0.123,0.9565,-0.103,2.1,-1.68,1.61,standing
0.122,0.955,-0.1005,2.17,-1.68,1.54,standing
0.1244,0.9545,-0.1005,2.24,-1.75,1.61,standing
0.1254,0.956,-0.1,2.38,-1.4,1.89,standing
0.123,0.9555,-0.103,2.17,-1.26,1.96,standing
0.121,0.956,-0.1044,2.17,-1.4,2.38,standing
0.123,0.9545,-0.103,1.82,-1.68,2.8,standing
0.1215,0.9526,-0.0981,1.47,-1.4,3.22,standing
0.121,0.9487,-0.1015,2.17,-1.19,3.15,standing
0.121,0.954,-0.1025,2.1,-1.61,3.57,standing
0.1235,0.957,-0.101,1.75,-2.1,4.13,standing
0.1215,0.955,-0.1,1.4,-2.24,3.85,standing
0.1259,0.9511,-0.1,1.75,-2.66,3.85,standing
0.1362,0.9516,-0.0976,1.89,-2.66,3.85,standing
0.1391,0.955,-0.0971,2.24,-2.24,3.5,standing
0.1401,0.957,-0.0956,1.75,-2.03,2.8,standing
0.1371,0.957,-0.0976,1.33,-1.47,2.31,standing
0.1396,0.9536,-0.0971,1.82,-1.26,1.89,standing
0.1371,0.9536,-0.0991,2.24,-1.61,1.54,standing
0.1342,0.9536,-0.1,2.1,-1.54,1.12,standing
0.1391,0.9516,-0.0971,2.66,-1.54,0.42,standing
0.143,0.9555,-0.0952,2.8,-1.26,0.28,standing
0.142,0.9589,-0.0956,2.8,-1.19,-0.21,standing
0.1332,0.9565,-0.0976,1.96,-1.68,-0.35,standing
0.1342,0.9516,-0.1015,1.75,-1.68,-0.49,standing
0.1362,0.9496,-0.1044,2.45,-1.54,-0.63,standing
0.1362,0.9521,-0.1015,3.01,-1.33,-0.63,standing
0.1342,0.9575,-0.1,2.24,-1.68,-0.91,standing
0.1342,0.957,-0.0966,1.75,-1.47,-1.12,standing
0.1381,0.9526,-0.0986,2.1,-0.98,-1.26,standing
0.1371,0.9536,-0.1,2.8,-0.21,-1.54,standing
0.1303,0.9584,-0.1005,2.17,-0.7,-1.54,standing
0.1283,0.9555,-0.101,1.47,-1.19,-1.47,standing
0.1322,0.9511,-0.1015,1.96,-1.33,-1.75,standing
0.1396,0.9506,-0.1,2.94,-0.84,-1.82,standing
0.1396,0.9584,-0.0991,2.8,-0.56,-2.38,standing
0.1381,0.9589,-0.0961,1.89,-0.21,-2.59,standing
0.1283,0.9565,-0.0996,1.82,-0.35,-2.52,standing
0.1269,0.9496,-0.1005,2.38,-0.56,-2.31,standing
0.1264,0.9516,-0.1044,2.45,-0.63,-2.1,standing
0.1269,0.9526,-0.0996,2.8,-0.63,-1.89,standing
0.1254,0.956,-0.0961,2.59,-0.77,-1.82,standing
0.1259,0.955,-0.101,1.89,-0.91,-1.68,standing
0.1259,0.9521,-0.0996,2.1,-1.05,-1.68,standing
0.124,0.9536,-0.102,2.38,-1.19,-1.61,standing
0.1279,0.954,-0.0966,1.96,-1.26,-1.54,standing
0.1293,0.9545,-0.1015,2.1,-1.05,-1.89,standing
0.1298,0.9536,-0.0986,2.31,-0.77,-1.68,standing
0.1298,0.956,-0.1,2.17,-0.56,-1.89,standing
0.1288,0.9575,-0.1005,2.1,-0.7,-1.96,standing
0.1264,0.9545,-0.0976,2.24,-1.05,-2.1,standing
0.1225,0.955,-0.1025,1.82,-1.19,-1.82,standing
0.1279,0.9511,-0.0996,2.8,-1.4,-2.17,standing
0.1283,0.954,-0.1005,2.38,-0.98,-2.1,standing
0.1298,0.957,-0.101,2.73,-0.56,-2.38,standing
0.1254,0.956,-0.0971,2.38,-0.49,-2.45,standing
0.1244,0.956,-0.1005,2.24,-0.63,-2.45,standing
0.124,0.9545,-0.1025,2.24,-0.63,-2.31,standing
0.122,0.955,-0.0971,2.31,-0.49,-2.59,standing
0.1215,0.9575,-0.1005,2.52,-0.7,-2.59,standing
0.123,0.9575,-0.101,2.17,-0.77,-2.38,standing
0.123,0.9555,-0.0986,1.96,-0.77,-2.52,standing
0.1235,0.954,-0.103,2.66,-0.63,-2.52,standing
0.1235,0.954,-0.101,2.38,-0.35,-2.38,standing
0.123,0.956,-0.1025,2.45,-0.49,-2.66,standing
0.122,0.9575,-0.102,2.52,-0.56,-2.8,standing
0.1249,0.954,-0.1015,2.59,-0.35,-2.8,standing
0.1225,0.956,-0.1035,2.45,-0.21,-3.01,standing
0.1215,0.957,-0.101,2.24,-0.49,-3.22,standing
0.1196,0.954,-0.1,2.31,-0.42,-3.29,standing
0.1186,0.9536,-0.1015,2.66,-0.91,-3.29,standing
0.1181,0.956,-0.1,2.8,-0.84,-3.43,standing
0.1205,0.957,-0.101,2.31,-0.84,-3.57,standing
0.1205,0.9575,-0.1005,2.24,-0.7,-3.64,standing
0.1176,0.9565,-0.101,2.59,-0.77,-3.78,standing
0.1137,0.956,-0.0996,2.45,-0.91,-3.64,standing
0.1122,0.956,-0.1025,2.59,-1.33,-3.64,standing
0.1113,0.9584,-0.1015,2.31,-1.33,-3.78,standing
0.1142,0.9536,-0.1015,2.31,-1.33,-3.22,standing
0.1161,0.9531,-0.1035,2.52,-1.19,-2.94,standing
0.1088,0.9555,-0.102,2.8,-1.12,-3.01,standing
0.1103,0.9575,-0.1035,2.38,-1.12,-2.66,standing
0.1074,0.955,-0.1035,2.03,-1.19,-2.52,standing
0.1064,0.955,-0.1015,2.52,-1.4,-2.59,standing
0.1083,0.9575,-0.1,2.52,-1.4,-2.38,standing
0.1132,0.957,-0.1035,2.17,-0.98,-2.38,standing
0.1152,0.9565,-0.0991,2.38,-0.49,-2.73,standing
0.1142,0.9565,-0.0996,2.24,-0.42,-2.52,standing
0.1098,0.9584,-0.103,2.17,-0.35,-2.45,standing
0.1113,0.9545,-0.1025,2.1,-0.42,-2.52,standing
0.1083,0.9555,-0.0981,2.45,-0.28,-2.59,standing
0.1064,0.9584,-0.0991,2.31,-0.42,-2.24,standing
0.1039,0.9565,-0.103,2.1,-0.49,-2.1,standing
0.1074,0.956,-0.0991,2.45,-0.56,-2.03,standing
0.1039,0.9575,-0.102,2.45,-0.49,-1.89,standing
0.103,0.9575,-0.0996,2.38,-0.56,-1.82,standing
0.1059,0.9565,-0.1059,1.96,-0.98,-1.4,standing
0.1044,0.9521,-0.103,2.52,-0.91,-1.4,standing
0.1059,0.9555,-0.101,2.8,-1.05,-1.47,standing
0.1118,0.9599,-0.0996,2.66,-0.56,-1.4,standing
0.1113,0.9584,-0.0996,2.38,-0.14,-1.61,standing
0.1064,0.9604,-0.0981,2.38,0.21,-1.89,standing
0.1049,0.9599,-0.1025,1.82,-0.07,-1.82,standing
0.1044,0.954,-0.1059,2.17,-0.28,-1.54,standing
0.103,0.9536,-0.1054,2.73,-0.07,-1.33,standing
0.101,0.957,-0.1,2.87,-0.21,-1.19,standing
0.103,0.9575,-0.0996,2.31,-0.28,-1.19,standing
0.1059,0.955,-0.0991,2.38,-0.14,-1.26,standing
0.1064,0.955,-0.1,2.59,0.07,-1.19,standing
0.1059,0.956,-0.1015,2.8,-0.07,-0.91,standing
0.101,0.9599,-0.1015,2.73,-0.14,-1.05,standing
0.0976,0.9565,-0.1035,2.66,-0.28,-0.98,standing
0.101,0.955,-0.1039,2.52,-0.49,-0.63,standing
0.0991,0.954,-0.1039,2.73,-0.7,-0.42,standing
0.1035,0.9575,-0.103,2.87,-0.77,-0.35,standing
0.1035,0.9579,-0.1054,2.52,-0.98,-0.14,standing
0.1035,0.9565,-0.103,2.66,-0.84,-0.07,standing
0.1049,0.9594,-0.103,2.73,-0.84,-0.07,standing
0.1025,0.957,-0.1049,2.52,-0.63,-0.07,standing
0.101,0.957,-0.1044,2.52,-0.77,0.07,standing
0.1025,0.9565,-0.1039,2.52,-0.91,0.35,standing
0.103,0.955,-0.1054,2.8,-0.98,0.28,standing
0.102,0.9555,-0.1005,3.01,-0.91,0.35,standing
0.1078,0.9584,-0.1025,2.66,-0.91,0.63,standing
0.101,0.9575,-0.101,2.8,-0.98,0.42,standing
0.102,0.9565,-0.1044,2.73,-1.05,0.63,standing
0.1039,0.954,-0.1025,2.94,-1.19,0.77,standing
0.1025,0.9565,-0.1039,3.08,-1.47,0.7,standing
0.103,0.9584,-0.1064,3.01,-1.54,0.84,standing
0.1069,0.956,-0.1025,2.8,-1.4,0.77,standing
0.1054,0.9565,-0.1049,2.8,-1.47,0.63,standing
0.1059,0.9584,-0.1059,2.73,-1.61,0.91,standing
0.1039,0.9555,-0.1044,2.8,-1.75,0.84,standing
0.103,0.9555,-0.1059,2.8,-1.82,0.91,standing
0.1069,0.9575,-0.1054,2.87,-1.54,0.77,standing
0.1049,0.9584,-0.1059,2.73,-1.61,0.63,standing
0.1069,0.9594,-0.1059,2.52,-1.61,0.63,standing
0.1035,0.9575,-0.1035,2.59,-1.68,0.28,standing
0.1069,0.9594,-0.1074,2.73,-1.61,0.14,standing
0.1044,0.9589,-0.1098,2.45,-2.1,0.0,standing
0.1049,0.9584,-0.1074,2.31,-2.52,0.0,standing
0.1015,0.9584,-0.1103,1.96,-3.08,0.07,standing
0.0991,0.9545,-0.1069,2.31,-4.2,-0.14,standing
0.1015,0.9614,-0.123,2.03,-5.95,-1.89,standing
0.0917,0.975,-0.1235,1.12,-8.47,-4.34,standing
0.0849,0.9692,-0.0986,-0.42,-8.75,-6.09,standing
0.1157,0.9511,-0.0961,-0.98,-7.28,-4.48,standing
0.1196,0.9462,-0.1039,0.91,-6.86,-2.31,standing
0.103,0.9555,-0.1015,1.96,-5.81,-2.03,standing
0.1,0.9623,-0.0976,0.91,-5.67,-1.68,standing
0.1069,0.9531,-0.1005,0.7,-5.46,-0.49,standing
0.1098,0.9501,-0.102,1.89,-4.41,0.07,standing
0.1039,0.9506,-0.0971,2.66,-3.78,0.14,standing
0.1025,0.956,-0.1005,2.8,-4.2,0.42,standing
0.1044,0.9536,-0.0952,3.22,-3.78,0.77,standing
0.1064,0.9511,-0.0952,3.57,-3.08,0.84,standing
0.1074,0.9536,-0.0991,4.2,-2.8,1.33,standing
0.1039,0.9506,-0.0956,4.41,-2.59,2.1,standing
0.0996,0.9526,-0.1039,4.97,-3.22,2.31,standing
0.1035,0.9531,-0.0986,4.97,-3.22,2.17,standing
0.102,0.955,-0.1103,5.39,-3.92,2.52,standing
0.102,0.9511,-0.1049,6.16,-3.92,2.66,standing
0.1039,0.955,-0.1059,6.72,-4.2,2.73,standing
0.1025,0.957,-0.1044,6.16,-4.2,3.22,standing
0.1054,0.9565,-0.1035,6.16,-4.48,3.29,standing
0.1039,0.955,-0.1069,5.95,-4.69,3.15,standing
0.1078,0.956,-0.1098,6.51,-4.76,3.22,standing
0.1127,0.9565,-0.1113,6.79,-4.69,3.22,standing
0.1137,0.9584,-0.1083,6.72,-4.76,3.01,standing
0.1137,0.9575,-0.1093,6.72,-3.92,2.8,standing
0.1166,0.9618,-0.1127,6.02,-2.94,2.73,standing
0.1127,0.957,-0.1171,5.67,-2.73,2.8,standing
0.1088,0.9526,-0.1191,5.81,-2.66,2.94,standing
0.1069,0.9521,-0.123,6.37,-2.8,3.15,standing
0.1103,0.9555,-0.1186,6.65,-2.8,3.22,standing
0.1127,0.9579,-0.121,5.88,-2.73,3.08,standing
0.1142,0.957,-0.1176,5.88,-2.38,2.73,standing
0.1132,0.9584,-0.1205,5.46,-2.52,2.52,standing
0.1088,0.9589,-0.1259,5.32,-2.87,2.38,standing
0.1113,0.954,-0.1161,4.83,-2.87,2.31,standing
0.1103,0.956,-0.1283,4.55,-3.22,2.38,standing
0.1118,0.9526,-0.1191,4.69,-3.29,2.31,standing
0.1142,0.954,-0.1279,4.13,-3.5,2.17,standing
0.1152,0.9516,-0.1171,4.48,-2.94,2.31,standing
0.1166,0.9526,-0.1264,4.83,-2.59,2.45,standing
0.1157,0.9526,-0.1181,4.62,-2.45,2.45,standing
0.1132,0.9575,-0.1283,3.5,-2.59,2.52,standing
0.1122,0.9511,-0.1235,4.2,-2.45,2.52,standing
0.1098,0.9511,-0.1269,4.13,-2.8,2.94,standing
0.1098,0.954,-0.1254,4.55,-3.01,3.36,standing
0.1137,0.9575,-0.1235,3.92,-3.29,3.36,standing
0.1181,0.955,-0.124,3.64,-2.8,3.29,standing
0.121,0.9531,-0.1264,3.64,-2.73,3.5,standing
0.1225,0.9555,-0.1264,3.57,-2.52,3.5,standing
0.1191,0.956,-0.1244,3.29,-2.1,3.5,standing
0.1147,0.9511,-0.1283,2.94,-2.17,3.64,standing
0.1142,0.9462,-0.1269,3.22,-2.52,3.99,standing
0.1181,0.9487,-0.1254,3.64,-2.8,4.41,standing
0.1103,0.954,-0.1254,2.94,-2.73,4.2,standing
0.124,0.9531,-0.1293,2.17,-3.15,3.78,standing
0.1381,0.9492,-0.1274,2.66,-2.31,3.57,standing
0.1376,0.9531,-0.1225,3.43,-1.33,3.36,standing
0.1249,0.9584,-0.122,2.38,-0.91,3.15,standing
0.1225,0.956,-0.1303,1.54,-1.05,2.73,standing
0.1254,0.9467,-0.1274,2.38,-1.33,3.15,standing
0.1225,0.9477,-0.1293,2.8,-1.96,3.29,standing
0.1225,0.9521,-0.122,3.29,-2.87,3.36,standing
0.1132,0.9545,-0.1249,2.17,-3.85,2.94,standing
0.1337,0.9492,-0.1313,2.17,-4.27,2.31,standing
0.1396,0.9482,-0.1254,3.22,-4.27,2.73,standing
0.1205,0.955,-0.1244,3.29,-3.29,1.96,standing
0.1386,0.9511,-0.1357,1.75,-3.92,0.98,standing
0.141,0.9438,-0.1225,2.87,-3.01,1.82,standing
0.1401,0.9501,-0.1318,3.5,-2.31,1.26,standing
0.1342,0.9526,-0.1274,3.08,-2.52,0.91,standing
0.1288,0.9526,-0.1288,2.8,-2.45,1.26,standing
0.1293,0.9516,-0.1332,2.73,-2.73,1.4,standing
0.1293,0.9477,-0.1279,3.15,-2.52,1.68,standing
0.124,0.9496,-0.1362,3.36,-2.73,2.03,standing
0.1283,0.9501,-0.1342,2.94,-2.87,2.1,standing
0.1308,0.9492,-0.1298,3.22,-2.73,2.17,standing
0.1362,0.9511,-0.1322,3.29,-2.17,2.24,standing
0.1366,0.9536,-0.1283,2.8,-1.61,1.96,standing
0.1396,0.9516,-0.1264,2.73,-1.33,1.96,standing
0.1357,0.9531,-0.1288,2.66,-1.12,1.96,standing
0.1322,0.9516,-0.1327,2.17,-1.33,1.75,standing
0.1337,0.9472,-0.1308,2.31,-1.33,1.89,standing
0.1337,0.9457,-0.1337,3.01,-1.26,1.75,standing
0.1357,0.9496,-0.1298,2.94,-1.05,1.82,standing
0.1376,0.9506,-0.1308,2.52,-1.26,1.68,standing
0.1386,0.9506,-0.1288,2.73,-0.77,1.54,standing
0.1337,0.9487,-0.1293,2.66,-1.26,1.54,standing
0.1318,0.9472,-0.1308,2.66,-1.47,1.54,standing
0.1342,0.9472,-0.1327,2.94,-1.54,1.4,standing
0.1391,0.9472,-0.1283,3.36,-1.75,1.4,standing
0.1386,0.9521,-0.1274,2.94,-1.47,1.26,standing
0.1401,0.9516,-0.1298,2.52,-1.61,0.84,standing
0.1386,0.9501,-0.1308,2.31,-1.47,0.84,standing
0.1352,0.9477,-0.1298,2.73,-1.47,0.77,standing
0.1381,0.9492,-0.1322,2.45,-1.75,0.7,standing
0.1362,0.9477,-0.1322,2.66,-1.54,0.91,standing
0.1386,0.9472,-0.1332,2.94,-1.54,1.12,standing
0.1347,0.9516,-0.1279,2.73,-1.54,1.12,standing
0.1322,0.9516,-0.1313,2.31,-1.68,0.91,standing
0.1386,0.9472,-0.1357,2.59,-1.75,1.33,standing
0.1362,0.9462,-0.1298,3.01,-1.54,1.75,standing
0.1318,0.9506,-0.1376,2.87,-1.61,1.68,standing
0.1396,0.9531,-0.1337,2.66,-1.82,1.33,standing
0.144,0.9501,-0.1288,2.45,-1.19,1.61,standing
0.1459,0.9521,-0.1362,2.45,-0.56,1.47,standing
0.1444,0.9492,-0.1357,2.17,-0.07,1.47,standing
0.1405,0.9501,-0.1332,2.38,-0.56,1.75,standing
0.1342,0.9511,-0.1391,1.68,-0.49,1.82,standing
0.1386,0.9448,-0.1308,2.17,-0.91,1.96,standing
0.1386,0.9472,-0.1318,2.03,-0.91,2.17,standing
0.1376,0.9516,-0.1362,1.54,-0.42,1.89,standing
0.1449,0.9487,-0.1254,2.03,-0.56,2.1,standing
0.141,0.9496,-0.1337,2.1,-0.14,2.03,standing
0.141,0.9492,-0.1279,2.24,0.28,2.31,standing
0.1464,0.9521,-0.1283,1.61,-0.21,1.54,standing
0.1459,0.9462,-0.1269,1.82,-0.84,1.96,standing
0.1405,0.9467,-0.1283,2.31,-0.77,1.82,standing
0.1449,0.9487,-0.1347,2.24,-0.77,1.4,standing
0.1513,0.9487,-0.1313,2.52,0.42,1.61,standing
0.143,0.9482,-0.1318,2.59,0.77,1.68,standing
0.1342,0.9453,-0.1308,2.45,-0.28,1.54,standing
